model_type,model_name,category,spearman,accuracy
DeBERTa,DeBERTa-NLI,-,0.7214897206004202,0.85
DeBERTa,smollm-finetune-135M,-,0.2696881041416281,0.65
DeBERTa,smollm-finetune-360M,-,0.31389398597174767,0.67
DeBERTa,smollm-finetune-1.7B,-,0.5468815395871093,0.71
LLM,qwen2.5-coder,zero-shot,0.4900701988473415,0.66
LLM,deepseek-r1-think,zero-shot,0.6142361349005825,0.67
LLM,olmo-3-think,zero-shot,0.16948838847877254,0.55
LLM,granite3.3,zero-shot,0.39274581042231993,0.59
LLM,llama3.1,zero-shot,0.5509513267284672,0.67
LLM,olmo-3-7b-instruct,zero-shot,0.3938522102487226,0.57
LLM,gemma3,zero-shot,0.3153213199638638,0.52
LLM,deepseek-r1,zero-shot,0.5328808554839131,0.67
LLM,qwen3,zero-shot,0.5843556179798781,0.67
LLM,deepseek-r1-think,zero-shot,0.34966673822531746,0.59
LLM,olmo-3-think,zero-shot,0.30985585933253335,0.59
LLM,gpt-oss-20b-think,zero-shot,0.10723407106782464,0.55
LLM,phi4-mini,zero-shot,0.2845629830255163,0.64
LLM,ministral-3,zero-shot,0.5663047493043194,0.56
LLM,openai-gpt-oss-120b,zero-shot,0.7112116378876664,0.68
LLM,qwen2.5-coder,five-shot,0.5763148968078928,0.64
LLM,deepseek-r1-think,five-shot,0.6982650078584103,0.74
LLM,olmo-3-think,five-shot,0.277571191932667,0.57
LLM,granite3.3,five-shot,0.34334394816050656,0.57
LLM,llama3.1,five-shot,0.4133334543884333,0.68
LLM,olmo-3-7b-instruct,five-shot,0.46393423126363437,0.66
LLM,gemma3,five-shot,0.4178768248502577,0.62
LLM,deepseek-r1,five-shot,0.505651208534618,0.65
LLM,qwen3,five-shot,0.5333896417934638,0.65
LLM,deepseek-r1-think,five-shot,0.2939544241653413,0.59
LLM,olmo-3-think,five-shot,0.40206845236473027,0.56
LLM,gpt-oss-20b-think,five-shot,0.11209987146377595,0.54
LLM,phi4-mini,five-shot,0.19481228491793073,0.57
LLM,ministral-3,five-shot,0.5805522565684655,0.56
LLM,openai-gpt-oss-120b,five-shot,0.7945757335561869,0.76
LLM,qwen2.5-coder,zero-shot-deberta,0.4524776189583146,0.64
LLM,deepseek-r1-think,zero-shot-deberta,0.5852641628587021,0.67
LLM,olmo-3-think,zero-shot-deberta,0.19057220457143995,0.57
LLM,granite3.3,zero-shot-deberta,0.5200931514336459,0.65
LLM,llama3.1,zero-shot-deberta,0.5676046605163391,0.7
LLM,olmo-3-7b-instruct,zero-shot-deberta,0.4079594911725232,0.59
LLM,gemma3,zero-shot-deberta,0.4645266787406136,0.61
LLM,deepseek-r1,zero-shot-deberta,0.48556042775172226,0.68
LLM,qwen3,zero-shot-deberta,0.6560655315034586,0.73
LLM,deepseek-r1-think,zero-shot-deberta,0.28230750166446855,0.58
LLM,olmo-3-think,zero-shot-deberta,0.3453495314420756,0.6
LLM,deepseek-r1-think-2,zero-shot-deberta,0.5981506397660863,0.67
LLM,phi4-mini,zero-shot-deberta,0.25947384028634646,0.61
LLM,deepseek-r1-think-combined,zero-shot-deberta,0.6793963966008097,0.74
LLM,ministral-3,zero-shot-deberta,0.5464239444067575,0.53
LLM,openai-gpt-oss-120b,zero-shot-deberta,0.8133290759186135,0.74
LLM,qwen2.5-coder,five-shot-deberta,0.6073477827519321,0.68
LLM,deepseek-r1-think,five-shot-deberta,0.7125552928445958,0.76
LLM,olmo-3-think,five-shot-deberta,0.34766468516022586,0.58
LLM,granite3.3,five-shot-deberta,0.4955333048827555,0.66
LLM,llama3.1,five-shot-deberta,0.23969751213039947,0.58
LLM,olmo-3-7b-instruct,five-shot-deberta,0.45293324310753935,0.61
LLM,gemma3,five-shot-deberta,0.5319724370158297,0.65
LLM,deepseek-r1,five-shot-deberta,0.5597841354609967,0.71
LLM,qwen3,five-shot-deberta,0.5207424799952239,0.69
LLM,deepseek-r1-think,five-shot-deberta,0.2936502391869926,0.59
LLM,olmo-3-think,five-shot-deberta,0.40447779116828314,0.6
LLM,phi4-mini,five-shot-deberta,0.323988371429375,0.64
LLM,ministral-3,five-shot-deberta,0.5558711758842719,0.55
LLM,openai-gpt-oss-120b,five-shot-deberta,0.8024696459051912,0.75
