model,zero_accuracy,zero_spearman,five_accuracy,five_spearman,accuracy_impr_pct,spearman_impr_pct,zero_avg_time,five_avg_time
DeBERTa-NLI,0.85,0.7214897206004202,,,,,,
deepseek-r1,0.67,0.5328808554839131,0.65,0.505651208534618,-2.985074626865674,-5.109894016471588,,
deepseek-r1-deberta,0.68,0.4855604277517222,0.71,0.5597841354609967,4.41176470588234,15.28619373966503,,
deepseek-r1-think,0.59,0.3496667382253174,0.59,0.2939544241653413,0.0,-15.932975021512155,,
deepseek-r1-think-deberta,0.58,0.2823075016644685,0.59,0.2936502391869926,1.7241379310344844,4.017866140874051,,
gemma3,0.52,0.3153213199638638,0.62,0.4178768248502577,19.230769230769226,32.524126468247324,,
gemma3-deberta,0.61,0.4645266787406136,0.65,0.5319724370158297,6.557377049180333,14.519243212912878,,
gpt-oss-20b-think,0.55,0.1072340710678246,0.54,0.1120998714637759,-1.8181818181818195,4.537550749960549,,
granite3.3,0.59,0.3927458104223199,0.57,0.3433439481605065,-3.3898305084745797,-12.57858415057095,,
granite3.3-deberta,0.65,0.5200931514336459,0.66,0.4955333048827555,1.5384615384615397,-4.722201490865769,,
llama3.1,0.67,0.5509513267284672,0.68,0.4133334543884333,1.492537313432837,-24.978226871183857,,
llama3.1-deberta,0.7,0.5676046605163391,0.58,0.2396975121303994,-17.142857142857142,-57.770341083466235,,
ministral-3,0.56,0.5663047493043194,0.56,0.5805522565684655,0.0,2.5158728196520657,,
ministral-3-deberta,0.53,0.5464239444067575,0.55,0.5558711758842719,3.7735849056603805,1.728919747060345,,
olmo-3,0.57,0.3938522102487226,0.66,0.4639342312636343,15.789473684210542,17.793989519737384,,
olmo-3-deberta,0.59,0.4079594911725232,0.61,0.4529332431075393,3.3898305084745797,11.02407295532119,,
olmo-3-think,0.59,0.3098558593325333,0.56,0.4020684523647302,-5.08474576271185,29.759835179761946,,
olmo-3-think-deberta,0.6,0.3453495314420756,0.6,0.4044777911682831,0.0,17.121279846335884,,
openai-gpt-oss-120b,0.68,0.7112116378876664,0.76,0.7945757335561869,11.764705882352935,11.721418945859211,,
openai-gpt-oss-120b-deberta,0.74,0.8133290759186135,0.75,0.8024696459051912,1.3513513513513526,-1.3351828103719392,,
phi4-mini,0.64,0.2845629830255163,0.57,0.1948122849179307,-10.937500000000009,-31.539835980542065,,
phi4-mini-deberta,0.61,0.2594738402863464,0.64,0.323988371429375,4.9180327868852505,24.863597452380002,,
qwen2.5-coder,0.66,0.4900701988473415,0.64,0.5763148968078928,-3.030303030303033,17.59843756331261,,
qwen2.5-coder-deberta,0.64,0.4524776189583146,0.68,0.6073477827519321,6.250000000000005,34.22714346626838,,
qwen3,0.67,0.5843556179798781,0.65,0.5333896417934638,-2.985074626865674,-8.721739745157935,,
qwen3-deberta,0.73,0.6560655315034586,0.69,0.5207424799952239,-5.479452054794526,-20.626453457800846,,
smollm-finetune-1.7B,0.71,0.5468815395871093,,,,,,
smollm-finetune-135M,0.65,0.2696881041416281,,,,,,
smollm-finetune-360M,0.67,0.3138939859717476,,,,,,
bert-base,0.734694,0.493006,,,,,,
deberta-base,0.75,0.572997,,,,,,
